12980	16247
14564	18829
16875	18877
15933	21605
14311	21128
14147	15900
14281	16763
15291	13532
15011	17884
13097	15492
12686	16759
14209	18671
16105	21643
14977	20597
12578	15485
15520	16913
14554	18282
14317	19137
13890	18021
15195	17254
13712	17398
14486	13206
14525	14800
16233	17404
15231	17405
13046	14276
15680	16404
13442	17744
12736	14281
16033	18136
15183	21219
13890	19280
13147	19427
13894	19634
15338	13855
15273	23156
14314	14503
15092	16829
14562	29574
14522	18352
16181	16390
12699	19599
15624	17352
13212	16399
14692	17410
13592	18657
15588	20705
15927	18533
13070	17099
13393	20976
15913	23984
13627	17690
13690	21664
15567	14754
15699	19195
14068	19329
14556	20672
15366	19747
13775	19280
14126	17334
13923	17512
16885	20274
13849	29698
15995	23987
15683	19129
14419	14013
15696	13327
14376	17463
15271	18623
15338	17762
16174	16227
15518	17646
12916	22434
15531	17662
13901	22355
15014	18245
16131	15188
13989	17351
14360	14901
14957	21399
12136	16348
14820	19482
14901	17563
14201	21266
13584	14297
14778	17641
14047	20926
14609	26492
13888	20377
14745	20341
15140	16359
15208	20338
14625	20869
14279	18009
16865	19316
15308	21065
15826	17585
14810	25494
14662	18720
14980	18291
15952	19468
15397	18618
14720	16923
15393	28763
13259	21578
15982	22928
14962	19161
14553	15781
15467	19016
16681	16030
14688	12894
10143	20599
15390	15657
14007	17750
14395	18253
15019	18372
14873	16369
14376	20908
14617	22456
13579	18281
17156	15884
15151	21647
16098	20815
13316	18230
15238	21877
15459	22168
16418	20600
14548	19637
15786	14673
14883	21237
14367	14250
14355	19870
13863	20362
14722	14208
15795	19079
15628	17333
15365	15887
13774	28128
14278	32285
15656	14576
14851	19339
16410	17262
13925	22778
15999	21329
14439	20020
14238	14431
15060	17676
16785	18647
13991	22083
15723	26534
15985	18740
15885	16961
14994	20706
15325	16605
16231	24715
15197	17906
15680	16882
15486	20959
15755	16302
15857	19084
15911	14057
16530	15407
14090	20013
14310	23739
14506	15961
14250	17581
12604	13969
12543	23748
15781	17350
13210	26773
14611	23341
16162	18392
15906	13816
14941	20766
14822	20045
16271	27008
13834	25297
15675	15613
14905	16810
15838	18301
13843	18674
14049	20459
13077	15684
15111	16991
13532	19123
13422	16890
15352	19399
13909	27819
13765	19975
14421	21917
13081	14542
14518	18630
14738	16691
14278	17820
16095	13227
13427	16905
15433	18437
16121	18963
14580	22889
16516	23106
12343	25712
15051	20309
15228	22789
14446	13590
13778	20784
15011	17258
15270	18527
15261	14249
15348	23386
14028	19059
13971	23232
14738	22880
13690	20183
14003	16523
15847	23096
13474	26366
14642	19410
15342	16762
13182	20150
16265	24960
15758	13976
15203	18649
13212	19387
16336	21373
16113	16980
15720	20122
14169	21642
15731	17776
15305	16024
14130	19898
14599	23372
15392	19005
15124	17662
13388	18222
13255	21627
13088	19837
15916	20271
17113	20898
16705	18361
15362	15747
15140	19865
15596	18538
14998	16572
16375	17637
13221	15315
13886	15992
16997	18592
13184	14506
15815	24288
14886	17057
13207	17445
15413	20762
14531	18153
16468	19867
16085	17343
16589	25664
14950	20445
12790	24065
16326	20217
15158	13922
15547	14954
16522	17962
15688	19057
14572	16953
13710	22066
15850	18413
14694	19426
15034	17790
15642	23368
13563	21856
15428	16684
14883	23544
15108	21971
14552	14835
13356	16050
15594	15894
16053	24589
16117	13122
13881	15303
14786	21979
15373	24802
13788	18482
15616	20491
14008	14639
14513	15017
11473	20738
15733	20281
12356	17870
13385	13802
14756	16240
11038	12045
14384	17057
15965	18219
16298	18511
15043	22920
15444	19561
15768	17340
14406	19078
15211	18423
13338	20971
14057	18521
14517	19433
15825	20545
12882	20038
15103	21613
14663	16981
12421	17959
15405	21416
15814	20456
14740	16656
13374	15908
14496	16714
12908	23435
14115	18803
15379	25570
14958	21036
15495	18038
13157	12704
14111	13181
15292	19637
14695	22729
14772	16745
15894	24332
13147	21079
14123	18039
11277	15162
11568	15979
15830	24179
14160	20228
14250	16045
13643	18411
15853	19164
16211	20918
13162	13406
13356	16839
13867	22050
16831	20128
15580	21356
14201	15523
14594	24017
16291	19938
13671	15617
16425	20153
13911	22955
14152	18896
15052	23220
14664	19496
14887	21058
16614	20807
13851	17605
16186	20638
15869	17600
13071	16097
15752	18288
13206	18197
15459	23544
15710	16663
14298	16367
13562	16640
15322	17672
15864	15508
15663	20168
13237	21110
13562	17952
15734	18093
15990	20750
13170	28263
12233	12310
13841	18046
14678	18271
16502	18232
15704	19725
